estado,tokenFinal,categoria,transicionesDefinidas,simbolo:a,simbolo:b,simbolo:c,simbolo:d,simbolo:e,simbolo:f,simbolo:g,simbolo:h,simbolo:i,simbolo:j,simbolo:k,simbolo:l,simbolo:m,simbolo:n,simbolo:ñ,simbolo:o,simbolo:p,simbolo:q,simbolo:r,simbolo:s,simbolo:t,simbolo:u,simbolo:v,simbolo:w,simbolo:x,simbolo:y,simbolo:z,simbolo:0,simbolo:1,simbolo:2,simbolo:3,simbolo:4,simbolo:5,simbolo:6,simbolo:7,simbolo:8,simbolo:9,simbolo:+,simbolo:-,simbolo:*,simbolo:/,simbolo:%,simbolo:<,simbolo:>,simbolo:=,simbolo:!,simbolo:&,simbolo:|,simbolo:.,simbolo:coma,simbolo:;,simbolo::,simbolo:{,simbolo:},simbolo:(,simbolo:),simbolo:[,simbolo:],simbolo:_,simbolo:comilla_doble,simbolo:espacio
0,,No final,60,200,1,6,21,29,33,200,200,36,200,200,46,200,200,200,51,53,200,57,63,69,200,73,76,200,200,200,131,131,131,131,131,131,131,131,131,131,106,107,103,104,105,108,111,100,116,119,120,121,122,123,124,125,126,127,128,129,130,200,133,0
1,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
2,,No final,1,200,200,200,200,3,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
3,,No final,1,4,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
4,,No final,1,200,200,200,200,200,200,200,200,200,200,5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
5,break,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
6,,No final,3,7,200,200,200,200,200,200,200,200,200,200,10,200,200,200,14,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
7,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,8,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
8,,No final,1,200,200,200,200,9,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
9,case,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
10,,No final,1,11,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
11,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,12,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
12,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,13,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
13,class,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
14,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,15,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
15,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,16,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
